date,BTC Price,BTC High,BTC Low,BTC Open,BTC Previous Close,Crude Oil Price,Gold Price,ETH Price,MSFT Price,JPM Price,JNJ Price,XOM Price,Sentiment Article 1,Sentiment Article 2,Sentiment Article 3
7/19/2024 03:49:42,68678.4468,66695.4545,66196.0793,68395.6295,67566.7744,58.9,2422.43,3950.8489,477.257,202.7,190.32,114.21,0,0,1
7/1/2024 20:45:02,66330.397,66258.1674,66506.8067,69354.4073,67387.8749,55.2,2474.7102,3883.3962,464.201,182.16,147.98,116.02,2,0,2
6/21/2024 18:44:20,69402.9309,67369.9405,69351.9285,67669.4026,66274.6988,73.7,2459.7767,3966.1923,401.675,186.43,147.65,117.71,0,1,0
7/5/2024 04:39:02,67799.4964,66737.7015,68303.0348,68315.7646,68201.6503,54.8,2411.184,3736.2125,477.279,182.0,145.45,118.13,0,0,1
6/5/2024 14:55:54,67251.5522,66831.3531,66780.9601,68338.7666,68615.6965,86.9,2445.6234,3783.3882,459.878,204.22,197.32,114.75,1,0,1
6/16/2024 17:45:50,66467.5604,66421.5262,66477.2483,69533.609,67451.8988,89.7,2476.1128,3970.9427,482.089,202.92,196.81,118.54,0,2,2
6/10/2024 14:15:33,69404.7115,66485.8804,69659.6695,68661.5489,67974.5209,62.9,2478.5893,3851.7601,408.5,181.98,179.3,115.31,1,0,2
7/18/2024 15:53:03,66502.8709,68948.9971,67374.6342,68082.0613,69959.1006,98.9,2455.4187,3984.9941,441.464,201.68,179.19,117.27,2,2,0
6/5/2024 21:19:58,69897.0787,69185.2594,69608.8431,67285.254,68530.7969,87.8,2413.2165,3820.9573,407.051,185.98,144.75,116.36,0,0,0
6/1/2024 18:57:40,66288.8998,68748.1537,66072.4667,68602.5303,67627.8233,61.2,2425.3288,3877.3243,460.85,185.58,144.16,113.93,2,0,1
6/11/2024 07:39:24,67409.9374,66704.1871,68140.5204,67924.9081,66735.1339,87.8,2485.2169,3870.2462,407.977,209.12,182.45,117.44,0,0,2
7/26/2024 21:10:17,67706.8554,69649.0594,69114.4807,67501.8923,68366.6601,60.5,2436.2061,3827.1829,444.982,192.02,152.05,114.41,0,1,0
6/26/2024 22:15:04,69182.7803,68104.3503,69328.6114,69707.4214,69838.4946,97.7,2460.3271,3864.7169,479.302,186.24,196.8,119.44,0,1,0
6/7/2024 07:31:07,67031.3387,66527.9153,69426.8253,66889.6847,68797.8539,69.9,2425.9789,3942.0584,478.254,207.68,198.93,114.08,2,1,1
6/2/2024 10:10:38,68757.9372,68472.4078,66833.001,66018.0105,66611.0285,73.5,2463.3419,3966.4899,426.562,196.49,151.89,115.45,0,1,0
7/3/2024 11:09:52,66892.858,66202.8976,66148.3016,69488.8986,67989.849,89.4,2412.0986,3987.0045,492.829,199.73,185.63,115.58,2,0,2
6/26/2024 21:30:44,69696.8843,68159.5424,68488.495,69637.2811,67925.4531,55.9,2426.1782,3926.4358,451.216,193.04,154.63,118.81,0,1,2
7/7/2024 14:23:35,67091.6481,67382.6929,66959.9919,68373.6435,67305.1126,81.1,2472.6814,3981.5728,484.006,191.88,151.18,119.33,1,2,0
7/12/2024 11:56:13,66189.3176,69579.3208,69173.752,68094.8489,69492.8829,90.8,2499.939,3857.458,468.002,181.22,173.44,114.5,0,1,0
6/29/2024 12:52:04,67152.6841,69636.8822,68332.3582,67886.0886,68811.4573,55.7,2406.6762,3856.432,410.666,201.91,189.93,115.62,0,0,2
6/26/2024 06:53:50,66087.0686,66102.6561,68257.0762,67256.204,66403.6397,52.2,2479.6265,3767.7251,474.841,185.81,160.73,117.58,2,1,2
6/29/2024 11:39:51,67531.6809,67301.2173,67285.8059,69616.1343,69078.1483,69.4,2494.2407,3861.4517,484.568,201.6,199.61,113.68,0,2,0
6/13/2024 23:41:40,67481.2833,69769.0294,68316.3281,66271.5588,69873.4001,64.1,2411.024,3913.7466,456.959,192.21,189.94,115.8,1,2,0
5/25/2024 19:27:08,68440.6696,67066.2082,69426.0614,66830.4221,68772.2005,64.9,2409.0414,3793.7657,402.562,205.34,145.78,113.72,0,2,1
7/16/2024 19:23:19,69833.4266,67600.3508,69651.2843,67618.4729,68597.2246,78.9,2484.9103,3824.5294,421.136,201.28,159.11,118.22,2,0,2
7/26/2024 17:22:29,66416.0011,66963.024,67291.5823,67450.6195,66986.0899,94.9,2400.416,3791.2857,458.263,186.11,146.8,113.79,1,0,2
6/7/2024 14:29:26,66552.4122,69906.6889,67748.2057,67489.0737,69530.5722,81.6,2450.8939,3916.0977,451.411,190.21,160.63,119.55,0,0,0
7/9/2024 02:20:57,69041.3825,66261.3664,67685.6384,67364.0951,68010.9326,55.5,2487.5089,3815.4561,412.129,200.27,171.49,113.64,1,0,0
7/15/2024 18:53:02,68803.843,66903.6334,66495.2208,68937.0496,69018.8456,92.7,2427.5678,3849.3063,468.984,201.24,195.23,118.54,1,2,2
6/10/2024 08:59:28,66651.5694,67231.2078,68093.8278,67628.0182,66849.9207,52.7,2405.7091,3967.1984,411.679,180.3,147.09,118.48,1,0,0
6/20/2024 14:22:05,67722.6503,68993.788,67826.5494,67344.5667,66160.5329,79.2,2473.5337,3782.1437,408.198,209.08,175.58,113.05,1,1,1
6/30/2024 10:41:38,69284.5423,69747.9044,68455.4016,69562.7111,69825.6395,57.2,2492.1937,3743.3241,430.257,201.22,156.76,119.38,1,1,0
5/30/2024 23:01:59,68206.6775,67955.5602,67830.5503,67525.901,66984.955,52.9,2459.7128,3754.2814,450.799,195.0,172.09,114.29,1,0,0
6/21/2024 19:07:21,67316.4869,67939.6464,66636.6277,68609.1466,68412.3568,90.4,2415.8731,3992.9713,454.557,185.78,166.67,119.21,2,1,0
7/17/2024 23:16:08,68539.2371,67871.3699,68485.0182,66101.3455,66577.6848,60.5,2413.3393,3929.5077,456.736,180.54,166.79,117.71,2,1,2
7/9/2024 09:25:24,68676.9581,66218.7981,66218.4112,68845.3138,66170.1544,57.8,2471.0161,3905.5651,498.713,204.31,190.4,113.63,0,0,1
6/12/2024 15:38:36,67563.7632,68663.6599,69856.1404,67702.9949,68068.538,57.1,2496.3289,3716.2192,438.984,180.7,157.21,118.0,2,0,2
6/13/2024 20:05:35,69600.4932,69220.1245,67338.5523,67745.9667,66695.8206,67.7,2487.9493,3937.5811,404.766,194.49,183.97,114.84,1,0,2
7/16/2024 05:37:59,68433.9053,67460.036,69013.8147,66373.8138,69776.1775,57.7,2444.882,3950.4683,402.699,209.12,155.42,119.93,1,1,1
6/25/2024 01:11:49,69155.9265,68803.821,68867.2411,66532.5922,68117.6724,80.7,2439.1279,3787.3841,431.236,182.32,174.15,118.79,2,1,0
7/27/2024 05:42:44,67832.4377,66474.3945,69964.2771,66815.009,66631.8362,90.5,2478.9242,3754.267,401.365,181.37,155.07,115.2,1,2,2
7/14/2024 01:31:16,67829.9768,68628.5653,66312.5343,67588.5487,68534.1286,50.0,2420.8769,3833.7221,439.294,204.32,144.37,117.88,0,2,2
7/2/2024 08:47:48,67509.1905,68988.5549,68032.2267,66691.8308,66911.785,70.5,2437.1167,3988.1305,468.846,208.9,163.51,119.67,0,1,2
5/28/2024 09:06:32,66633.8401,66638.234,66256.8099,69262.1461,67817.4887,88.3,2492.5244,3785.9838,461.991,186.05,160.17,113.6,0,1,0
5/28/2024 00:37:07,67485.3914,69369.9841,69995.6313,66170.5566,69984.7052,97.0,2471.8214,3807.053,468.519,207.04,149.29,119.29,1,0,2
5/24/2024 10:15:41,67567.5284,67299.9566,69631.4867,67497.5778,66043.7812,80.9,2402.3247,3750.337,418.966,208.42,164.09,116.35,1,0,1
6/9/2024 14:31:07,67632.0298,68264.4816,67716.297,68830.8306,69783.7388,83.1,2406.4124,3751.2903,489.594,192.05,184.24,119.22,2,2,0
7/12/2024 03:12:59,67875.063,69027.1244,68608.1066,67813.1603,66891.8219,71.1,2458.1174,3701.7396,435.93,195.65,188.83,118.04,1,1,2
5/27/2024 13:29:37,68463.5259,69379.1001,67625.8044,67611.0916,66487.7291,56.3,2403.0682,3788.296,424.726,196.01,170.23,113.08,0,2,2
7/1/2024 03:11:57,69982.4927,67312.7594,68924.7345,67693.4812,69041.2723,63.7,2420.3885,3757.9427,404.998,201.81,199.66,113.61,2,1,0
7/20/2024 13:09:10,67098.6006,66826.4223,67500.7428,66454.6876,68183.0646,69.3,2415.6445,3715.1986,466.79,209.54,189.12,119.17,2,0,1
6/25/2024 14:36:42,68748.1646,69964.798,68254.0767,67694.1772,67556.7336,62.3,2417.6158,3787.0018,448.144,196.08,193.91,119.35,2,2,2
7/2/2024 10:14:18,66837.1496,69949.6947,69428.6086,67681.553,67771.3439,76.7,2489.7866,3936.0349,467.755,193.89,146.79,116.36,0,0,2
5/28/2024 01:33:04,69104.6476,67653.1034,68303.9293,67358.5753,66945.9608,53.1,2464.4076,3957.8484,438.26,182.08,177.42,119.32,1,0,0
5/24/2024 01:22:33,69198.6475,69833.5068,68860.9612,69082.3863,68307.8084,96.6,2400.6477,3727.6284,485.393,183.79,155.63,117.1,1,0,1
5/31/2024 13:42:27,69474.3556,67105.5178,69531.9436,69608.7755,69363.2095,86.4,2465.4149,3760.5459,407.187,203.84,156.72,114.82,2,1,1
6/10/2024 12:27:31,67236.0688,69181.4089,66325.8291,68617.2423,69334.4991,95.5,2427.6899,3997.5788,428.509,180.89,151.98,118.92,2,0,1
7/7/2024 15:08:40,68044.8267,66341.0973,69684.0687,69130.136,69959.7534,68.1,2403.9645,3933.2162,430.258,192.34,173.58,119.5,2,1,0
7/23/2024 21:43:46,67216.7433,66093.3435,66378.2333,67434.2323,67250.1733,53.2,2437.7942,3880.1107,441.211,187.65,177.36,113.74,2,1,1
6/7/2024 23:04:16,68279.2824,66645.4273,67732.3137,67176.7143,67036.1817,53.7,2426.5457,3942.5527,435.138,181.3,187.02,118.86,2,0,1
7/14/2024 19:43:52,68418.0842,69996.5819,69918.4144,67029.0374,68676.0525,62.8,2470.6085,3981.8933,479.196,209.87,149.19,116.13,0,0,2
